Stemmed Term,Set A occurences,Set B occurences,ratio DocFreq(A) to DocFreq(B)
2001,547,5495,0.099545040946314833
2001v,16,17,0.94117647058823528
2001x,15,27,0.55555555555555558
2002,469,5593,0.083854818523153948
2003,297,5510,0.053901996370235933
2004,365,3684,0.099077090119435399
2004i,18,16,1.125
2004v,20,10,2.0
2004vii,13,9,1.4444444444444444
2005,315,2664,0.11824324324324324
2006,445,3523,0.12631280158955435
2007,274,2096,0.13072519083969467
2008,189,1067,0.17713214620431114
2009,142,1014,0.14003944773175542
201,27,283,0.095406360424028266
2010,122,774,0.15762273901808785
2011,128,558,0.22939068100358423
2012,80,358,0.22346368715083798
2012on,16,0,inf
203,14,329,0.042553191489361701
207,13,246,0.052845528455284556
208,19,211,0.09004739336492891
21,1298,4359,0.29777471897224134
211,40,1002,0.039920159680638723
212,20,856,0.02336448598130841
213,25,1510,0.016556291390728478
213b,34,118,0.28813559322033899
215,681,2779,0.24505217704210147
216,40,281,0.14234875444839859
217,21,243,0.086419753086419748
218,25,235,0.10638297872340426
219,17,224,0.075892857142857137
22,683,4335,0.15755478662053057
220,16,238,0.067226890756302518
221,142,314,0.45222929936305734
2211,411,191,2.1518324607329844
222,350,305,1.1475409836065573
223,23,496,0.046370967741935484
226,20,472,0.042372881355932202
228,22,220,0.10000000000000001
23,637,3126,0.2037747920665387
230,16,197,0.081218274111675121
231,21,383,0.054830287206266322
234,17,206,0.082524271844660199
24,3302,2928,1.1277322404371584
241,360,223,1.6143497757847534
242,3866,218,17.73394495412844
243,13,207,0.06280193236714976
24and,12,0,inf
24the,17,3,5.666666666666667
25,209,3493,0.059833953621528775
250,18,255,0.070588235294117646
251,20,217,0.092165898617511524
26,491,1857,0.26440495422724825
27,297,2575,0.11533980582524272
27756,15,0,inf
278,17,193,0.088082901554404139
28,249,2595,0.09595375722543352
285,16,126,0.12698412698412698
29,247,1990,0.12412060301507538
2the,27,9,3.0
3,789,10902,0.072372041827187678
30,409,3206,0.12757330006238304
300,32,260,0.12307692307692308
31,705,3537,0.1993214588634436
311,20,245,0.081632653061224483
32,570,3345,0.17040358744394618
322,14,109,0.12844036697247707
323,18,194,0.092783505154639179
326,16,133,0.12030075187969924
33,454,1916,0.23695198329853862
331,14,161,0.086956521739130432
34,441,1541,0.28617780661907855
340,17,130,0.13076923076923078
341,18,96,0.1875
342,16,171,0.093567251461988299
35,363,1912,0.18985355648535565
351,66,130,0.50769230769230766
351414c2,63,0,inf
36,115,1273,0.09033778476040849
360,23,98,0.23469387755102042
37,103,1431,0.071977638015373865
38,144,1307,0.11017597551644988
39,59,931,0.063372717508055856
3the,18,10,1.8
4,806,8246,0.097744360902255634
40,69,1387,0.049747656813266039
41,69,1194,0.057788944723618091
411,57,516,0.11046511627906977
417,20,97,0.20618556701030927
42,87,1225,0.071020408163265311
43,74,985,0.075126903553299498
44,99,1266,0.078199052132701424
45,62,1159,0.053494391716997408
457,27,90,0.29999999999999999
46,54,955,0.05654450261780105
47,91,1703,0.053435114503816793
48,39,966,0.040372670807453416
49,69,938,0.073560767590618331
4the,17,5,3.3999999999999999
5,616,7114,0.086589822884453188
50,80,1383,0.057845263919016628
51,182,971,0.1874356333676622
52,400,957,0.41797283176593519
53,231,937,0.24653148345784417
54,88,1760,0.050000000000000003
55,96,968,0.099173553719008267
55780,39,0,inf
56,63,1287,0.048951048951048952
57,75,850,0.088235294117647065
58,323,1180,0.27372881355932205
59,74,807,0.09169764560099132
5the,13,1,13.0
6,656,5371,0.12213740458015267
60,95,1685,0.05637982195845697
60day,10,67,0.14925373134328357
61,140,1129,0.12400354295837024
610,337,272,1.2389705882352942
6102,74,20,3.7000000000000002
614,22,118,0.1864406779661017
62,555,2107,0.2634076886568581
62117,13,0,inf
63,135,1773,0.076142131979695438
64,337,1217,0.27691043549712407
65,143,1042,0.13723608445297505
66,211,797,0.26474278544542035
67,310,963,0.32191069574247144
68,291,1839,0.15823817292006526
69,244,1054,0.23149905123339659
6the,13,7,1.8571428571428572
7,480,5315,0.090310442144873007
70,187,771,0.24254215304798962
71,238,832,0.28605769230769229
7104,23,47,0.48936170212765956
7106,28,53,0.52830188679245282
72,162,878,0.18451025056947609
7222,20,73,0.27397260273972601
73,63,805,0.078260869565217397
731,53,107,0.49532710280373832
735,11,113,0.097345132743362831
736,11,92,0.11956521739130435
74,94,753,0.1248339973439575
743,16,93,0.17204301075268819
75,88,821,0.1071863580998782
751,33,146,0.22602739726027396
76,76,617,0.12317666126418152
77,48,654,0.073394495412844041
77135a,72,0,inf
77135b,22,0,inf
77722,15,0,inf
777ac,10,0,inf
78,45,873,0.051546391752577317
79,61,745,0.081879194630872482
7the,12,5,2.3999999999999999
8,407,5373,0.075749115950120974
80,39,768,0.05078125
81,109,774,0.14082687338501293
8101,13,10,1.3
81b,12,45,0.26666666666666666
82,69,651,0.10599078341013825
83,53,863,0.061413673232908458
84,46,736,0.0625
85,54,741,0.0728744939271255
86,55,553,0.099457504520795659
87,81,1134,0.071428571428571425
88,40,578,0.069204152249134954
89,53,615,0.086178861788617889
9,780,3918,0.19908116385911179
90,63,1323,0.047619047619047616
91,215,1408,0.15269886363636365
92,185,842,0.21971496437054633
93,1705,1751,0.97372929754426041
931,161,166,0.96987951807228912
932,102,72,1.4166666666666667
94,366,687,0.53275109170305679
94ii,88,1,88.0
95,223,786,0.28371501272264632
96,44,560,0.07857142857142857
97,85,679,0.1251840942562592
98,74,487,0.15195071868583163
99,65,577,0.11265164644714037
a1,26,211,0.12322274881516587
a1annex,28,0,inf
