Stemmed Term,Case A-WTDS264 DocFreq,Case A-WTDS402 DocFreq,Case A-WTDS350 DocFreq,Case A-WTDS344 DocFreq,Case A-WTDS343 DocFreq,Case A-WTDS294 DocFreq,Case A-WTDS420 DocFreq,Case A-WTDS335 DocFreq,Case A-WTDS422 DocFreq,Case A-WTDS179 DocFreq,Case A-WTDS383 DocFreq,Case A-WTDS322 DocFreq,Case A-WTDS382 DocFreq,Case A-WTDS219 DocFreq,Case A-WTDS404 DocFreq
17 june,0.066666666666666666,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.028571428571428571,0.0,0.0
17 march,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.028571428571428571,0.050000000000000003,0.0
17 novemb,0.066666666666666666,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.071428571428571425,0.0,0.14285714285714285,0.0,0.052631578947368418,0.0,0.050000000000000003,0.058823529411764705
17 understand,0.066666666666666666,0.0,0.041666666666666664,0.052631578947368418,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.052631578947368418,0.0,0.050000000000000003,0.0
172 173,0.0,0.0,0.041666666666666664,0.0,0.043478260869565216,0.043478260869565216,0.0,0.071428571428571425,0.0,0.0,0.090909090909090912,0.0,0.028571428571428571,0.0,0.058823529411764705
173 174,0.0,0.0,0.041666666666666664,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.090909090909090912,0.0,0.028571428571428571,0.0,0.058823529411764705
173 agreement,0.0,0.0,0.041666666666666664,0.0,0.0,0.043478260869565216,0.0,0.071428571428571425,0.0,0.14285714285714285,0.0,0.0,0.028571428571428571,0.0,0.058823529411764705
174 ad,0.0,0.0,0.041666666666666664,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.028571428571428571,0.050000000000000003,0.058823529411764705
174 agreement,0.0,0.1111111111111111,0.041666666666666664,0.0,0.043478260869565216,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.090909090909090912,0.0,0.028571428571428571,0.0,0.058823529411764705
174 antidump,0.0,0.1111111111111111,0.041666666666666664,0.0,0.043478260869565216,0.0,0.14285714285714285,0.071428571428571425,0.10000000000000001,0.0,0.090909090909090912,0.0,0.028571428571428571,0.050000000000000003,0.058823529411764705
