Stemmed Term,mean case doc freq over all A cases,median case doc freq over all A cases,SD of case doc freq over all A cases
report appel,0.052287949782228962,0.050000000000000003,0.037931506809646985
report argentina,0.039973473752582651,0.043478260869565216,0.037461016324981534
report bind,0.023551935394040654,0.0,0.033228825228932037
report brazil,0.01834476429778624,0.0,0.023273922270494296
report canada,0.025687759466868364,0.028571428571428571,0.025311362851739499
report certain,0.02337020086448004,0.0,0.025572049546765552
report chile,0.01843285750608405,0.0,0.02373623107902182
report corrosionresist,0.0091851004322400197,0.0,0.018495156722037828
report creat,0.036750121124195699,0.041666666666666664,0.035493456886541742
report doe,0.033095166874275765,0.041666666666666664,0.032066825114027968
report ec,0.063616925817087361,0.052631578947368418,0.034342996751146028
report egypt,0.018867640114779705,0.0,0.024245283671111756
report european,0.047426449626611161,0.050000000000000003,0.030823297483020765
report group,0.025274962769241946,0.028571428571428571,0.024813182629185086
report guatemala,0.025687759466868364,0.028571428571428571,0.025311362851739499
report ha,0.031377345751420323,0.028571428571428571,0.037932630189720755
report import,0.020296211543351133,0.0,0.031264415108451647
report includ,0.045488270846327117,0.043478260869565216,0.042720773811443326
report india,0.02337020086448004,0.0,0.025572049546765552
report issu,0.029196531396692926,0.041666666666666664,0.025154737865358476
report japan,0.047426449626611161,0.050000000000000003,0.030823297483020765
report korea,0.033306807085915983,0.041666666666666664,0.038695027155453345
report legal,0.042618976398085297,0.043478260869565216,0.040837953080392494
report mexico,0.029196531396692926,0.041666666666666664,0.025154737865358476
report panel,0.063616925817087361,0.052631578947368418,0.034342996751146028
report para,0.034798772293051471,0.041666666666666664,0.037471421640488722
report paragraph,0.038467292841367413,0.043478260869565216,0.032289673914294555
report parti,0.063616925817087361,0.052631578947368418,0.034342996751146028
report regard,0.031770351438543655,0.028571428571428571,0.034206765228908233
report reli,0.01843285750608405,0.0,0.02373623107902182
report shrimp,0.016592507839647427,0.0,0.031211710033319656
report softwood,0.021354412601552186,0.0,0.03366908487733556
report support,0.033935503008729558,0.041666666666666664,0.032884776505230737
report taken,0.028467292841367408,0.0,0.033922623844904812
report thailand,0.033958436158597692,0.043478260869565216,0.030728940663397493
report thi,0.038720340920502451,0.043478260869565216,0.036694382395131189
report unit,0.063616925817087361,0.052631578947368418,0.034342996751146028
report wa,0.041577483777645315,0.043478260869565216,0.037453566302743144
report wtds141abr,0.027138316806509025,0.028571428571428571,0.027058116082937352
report wtds264abr,0.044410576610738134,0.043478260869565216,0.037098873460123541
report wtds264r,0.025442393863446496,0.0,0.037301742667638027
report wtds294abr,0.035704467904629431,0.041666666666666664,0.038053995367978675
report wtds322abr,0.028044012418086992,0.0,0.038344347175845957
report zero,0.03822010042026195,0.043478260869565216,0.033198424135180073
report –,0.043787158161232749,0.050000000000000003,0.031616863011737259
report –softwood,0.0,0.0,0.0
report –zero,0.0,0.0,0.0
reportact disput,0.0,0.0,0.0
reportshort titleful,0.0,0.0,0.0
reportth panel,0.0,0.0,0.0
republ china,0.050860396813418765,0.050000000000000003,0.044478764549630748
republ korea,0.058809452588561489,0.050000000000000003,0.045307557113624768
republ vietnam,0.013486786018755329,0.0,0.029008235409923734
request accord,0.027379835506770492,0.0,0.031988378662356279
request ani,0.029196531396692926,0.041666666666666664,0.025154737865358476
request appel,0.029196531396692926,0.041666666666666664,0.025154737865358476
request articl,0.039114365067387004,0.043478260869565216,0.036114987431780113
request author,0.026297980672055247,0.028571428571428571,0.025837773717867406
request brazil,0.010914423740510696,0.0,0.018539915724644793
request concern,0.030420407952377264,0.0,0.040983421199154567
request consult,0.073140735340896865,0.058823529411764705,0.035178569154329958
request directorgener,0.018520202894277468,0.0,0.023520490214180154
request doe,0.027693135225104533,0.0,0.042274911085094208
request establish,0.073140735340896865,0.058823529411764705,0.035178569154329958
request european,0.01959789712986644,0.0,0.025487096944736817
request final,0.028237925732204908,0.028571428571428571,0.03136696186613798
request govern,0.047702502076576656,0.050000000000000003,0.042516082788520287
request identifi,0.030196616149638089,0.028571428571428571,0.032950140696084554
request includ,0.027868573821595761,0.0,0.038237320066025614
request inconsist,0.024840152967087956,0.0,0.034439989523000356
request panel,0.073140735340896865,0.058823529411764705,0.035178569154329958
request parti,0.053006055206216734,0.050000000000000003,0.041674703165642306
request place,0.035963811916833857,0.028571428571428571,0.042255062886165318
request preliminari,0.01638188608776844,0.0,0.024401634947594841
request provid,0.019280436812406123,0.0,0.024861510026154533
request pursuant,0.044306891838861141,0.041666666666666664,0.045281947833941315
request recommend,0.063616925817087361,0.052631578947368418,0.034342996751146028
request refund,0.017931967600159818,0.0,0.0225973908298484
request respect,0.014835992367961678,0.0,0.021758376745962787
request review,0.054093116293277822,0.052631578947368418,0.030658526191923635
request specif,0.025905695611577965,0.0,0.039411231044914702
request thailand,0.0089591567852437427,0.0,0.024427886555629594
request thi,0.049854456402444014,0.050000000000000003,0.047872928396482245
request unit,0.06028359248375402,0.052631578947368418,0.03775945559528144
request wa,0.038720340920502451,0.043478260869565216,0.036694382395131189
requir ad,0.029385238458465003,0.0,0.038890561554980517
requir address,0.031290000363226905,0.028571428571428571,0.038096268364491051
requir aggreg,0.022964647338721913,0.0,0.025790165646326836
requir ani,0.031290000363226905,0.028571428571428571,0.038096268364491051
requir antidump,0.038720340920502451,0.043478260869565216,0.036694382395131189
requir appli,0.053441487220596127,0.050000000000000003,0.038977214451745325
requir applic,0.031878235657344559,0.028571428571428571,0.038447128868555551
requir articl,0.063616925817087361,0.052631578947368418,0.034342996751146028
requir assess,0.036227343721622902,0.041666666666666664,0.038420189321415714
requir author,0.038720340920502451,0.043478260869565216,0.036694382395131189
requir calcul,0.035821790195864768,0.041666666666666664,0.037901423495352159
requir compar,0.027956667029893575,0.0,0.038498673846550306
